競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,A率,B率,C率,D率,E率,F率,G率,H率,I率,CT値,スコア,運用判定,選手数
立川競輪,7R,13:33,初日,Ｓ,"=""5-3""","=""5-3-2""","=""7-1-4-6""","=""7-3-5""","=""2-1-4-6""",0.97,0.97,0.97,0.97,0.96,0.95,0.94,,,0.0,48.75,A-B-D-E,7
大垣競輪,7R,13:48,初日,Ａ,"=""4-1""","=""4-1-2""","=""5-7-3-6""","=""4-1-2""","=""5-7-6-3""",0.97,0.97,0.97,0.96,0.96,0.95,0.93,,,0.0,48.84,見送り,7
立川競輪,8R,14:03,初日,Ｓ,"=""5-2""","=""5-2-4""","=""1-3-7-6""","=""2-5-4""","=""1-7-3-6""",0.97,0.97,0.97,0.97,0.96,0.95,0.94,,,0.0,48.76,A-B-D-E,7
大垣競輪,8R,14:18,初日,Ａ,"=""5-7""","=""5-7-1""","=""4-3-2-6""","=""5-7-4""","=""1-3-2-6""",0.97,0.97,0.97,0.97,0.96,0.96,0.94,,,0.0,48.76,見送り,7
立川競輪,9R,14:33,初日,Ｓ,"=""3-2""","=""3-2-5""","=""4-7-1-6""","=""3-5-7""","=""2-4-1-6""",0.97,0.97,0.97,0.97,0.96,0.95,0.9,,,0.0,48.93,A-B-D-E,7
大垣競輪,9R,14:48,初日,Ａ,"=""7-1""","=""7-1-2""","=""4-3-5-6""","=""7-1-2""","=""4-3-6-5""",0.97,0.97,0.97,0.97,0.96,0.95,0.94,,,0.0,48.81,見送り,7
立川競輪,10R,15:03,初日,Ｓ,"=""4-3""","=""4-3-1""","=""2-7-5-6""","=""4-5-3""","=""7-1-2-6""",0.97,0.97,0.97,0.96,0.96,0.95,0.93,,,0.01,48.89,A-B-D-E,7
大垣競輪,10R,15:18,初日,Ａ,"=""5-3""","=""5-3-1""","=""4-7-2-6""","=""5-3-1""","=""4-7-2-6""",0.97,0.97,0.97,0.97,0.96,0.96,0.94,,,0.0,48.79,見送り,7
立川競輪,11R,15:34,初日,Ｓ,"=""1-7""","=""1-7-3""","=""2-4-5-6""","=""1-3-2""","=""4-7-5-6""",0.97,0.97,0.97,0.97,0.96,0.95,0.95,,,0.0,48.7,A-B-D-E,7
大垣競輪,11R,15:48,初日,Ａ,"=""1-5""","=""1-5-7""","=""3-4-2-6""","=""5-1-3""","=""2-7-6-4""",0.97,0.97,0.97,0.97,0.96,0.96,0.94,,,0.0,48.79,見送り,7
青森競輪,1R,15:55,2日目,Ａ,"=""1-4""","=""1-4-3""","=""7-2-5-6""","=""7-4-1""","=""3-5-2-6""",0.97,0.97,0.97,0.97,0.95,0.95,0.89,,,0.0,49.0,見送り,7
立川競輪,12R,16:06,初日,Ｓ,"=""3-5""","=""3-5-1""","=""7-4-6-2""","=""3-5-4""","=""7-2-1-6""",0.97,0.97,0.97,0.96,0.95,0.94,0.92,,,0.01,49.02,A-B-D-E,7
青森競輪,2R,16:17,2日目,Ａ,"=""2-1""","=""2-1-4""","=""3-5-7-6""","=""2-1-7""","=""4-3-5-6""",0.97,0.97,0.97,0.97,0.96,0.96,0.89,,,0.0,48.99,見送り,7
青森競輪,3R,16:42,2日目,Ａ,"=""1-4""","=""1-4-5""","=""2-3-7-6""","=""4-5-2""","=""1-3-7-6""",0.97,0.97,0.97,0.97,0.96,0.95,0.93,,,0.0,48.82,見送り,7
青森競輪,4R,17:07,2日目,Ａ,"=""5-1""","=""5-1-7""","=""4-3-2-6""","=""4-5-7""","=""3-1-2-6""",0.97,0.97,0.97,0.96,0.96,0.95,0.93,,,0.01,48.89,見送り,7
青森競輪,5R,17:32,2日目,Ａ,"=""7-1""","=""7-1-2""","=""5-4-3-6""","=""7-1-2""","=""5-4-6-3""",0.97,0.97,0.97,0.97,0.96,0.95,0.93,,,0.0,48.78,見送り,7
青森競輪,6R,17:57,2日目,Ｓ,"=""1-4""","=""1-4-2""","=""5-6-3""","=""1-5-2""","=""4-6-3""",0.97,0.97,0.97,0.97,0.95,0.95,,,,0.0,48.65,A-B-D-E,6
青森競輪,7R,18:22,2日目,Ｓ,"=""1-3""","=""1-3-4""","=""2-5-6""","=""1-3-4""","=""2-5-6""",0.97,0.97,0.97,0.97,0.96,0.95,,,,0.0,48.7,A-B-D-E,6
青森競輪,8R,18:47,2日目,Ｓ,"=""7-2""","=""7-2-4""","=""1-3-5-6""","=""7-2-4""","=""3-1-5-6""",0.97,0.97,0.97,0.97,0.97,0.95,0.94,,,0.0,48.72,A-B-D-E,7
青森競輪,9R,19:12,2日目,Ｓ,"=""7-2""","=""7-2-5""","=""3-1-4-6""","=""7-5-3""","=""2-4-1-6""",0.97,0.97,0.97,0.97,0.97,0.95,0.93,,,0.0,48.75,A-B-D-E,7
青森競輪,10R,19:38,2日目,Ｓ,"=""7-5""","=""7-5-1""","=""2-4-3-6""","=""2-5-7""","=""4-3-1-6""",0.97,0.97,0.97,0.97,0.96,0.95,0.94,,,0.0,48.76,A-B-D-E,7
青森競輪,11R,20:04,2日目,Ｓ,"=""1-2""","=""1-2-7""","=""4-3-5-6""","=""7-4-2""","=""1-3-5-6""",0.97,0.97,0.97,0.97,0.96,0.95,0.94,,,0.0,48.78,A-B-D-E,7
青森競輪,12R,20:30,2日目,Ｓ,"=""5-1""","=""5-1-4""","=""3-2-7-6""","=""5-3-1""","=""4-2-7-6""",0.97,0.97,0.97,0.97,0.96,0.95,0.94,,,0.0,48.78,A-B-D-E,7
高知競輪,1R,20:40,最終日,ガ,"=""1-2""","=""1-2-3""","=""4-5-6-7""","=""3-2-1""","=""4-5-6-7""",0.97,0.97,0.97,0.97,0.96,0.95,0.94,,,0.0,48.75,見送り,7
佐世保競輪,1R,20:50,最終日,ガ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""3-2-1""","=""4-5-6-7""",0.97,0.97,0.97,0.97,0.96,0.95,0.94,,,0.0,48.76,見送り,7
高知競輪,2R,21:00,最終日,Ａ,"=""2-3""","=""2-3-4""","=""1-6-5-7""","=""1-3-2""","=""4-7-6-5""",0.97,0.97,0.97,0.97,0.95,0.93,0.91,,,0.0,49.04,見送り,7
佐世保競輪,2R,21:10,最終日,Ａ,"=""1-2""","=""1-2-3""","=""4-6-5-7""","=""1-2-3""","=""4-5-6-7""",0.97,0.97,0.97,0.96,0.96,0.95,0.91,,,0.01,49.0,見送り,7
高知競輪,3R,21:20,最終日,Ａ,"=""1-4""","=""1-4-2""","=""5-3-6-7""","=""1-2-4""","=""3-5-6-7""",0.97,0.97,0.97,0.96,0.96,0.95,0.94,,,0.01,48.78,見送り,7
佐世保競輪,3R,21:30,最終日,Ａ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""2-1-3""","=""4-5-6-7""",0.97,0.97,0.97,0.97,0.96,0.95,0.94,,,0.0,48.82,見送り,7
高知競輪,4R,21:40,最終日,Ａ,"=""1-2""","=""1-2-3""","=""4-5-6-7""","=""1-3-2""","=""4-5-6-7""",0.97,0.97,0.97,0.97,0.97,0.95,0.92,,,0.0,48.85,見送り,7
佐世保競輪,4R,21:50,最終日,Ａ,"=""1-2""","=""1-2-3""","=""4-5-6-7""","=""2-1-4""","=""3-5-6-7""",0.97,0.97,0.97,0.96,0.96,0.95,0.94,,,0.01,49.02,見送り,7
高知競輪,5R,22:00,最終日,Ａ,"=""1-2""","=""1-2-4""","=""3-5-6-7""","=""1-3-2""","=""4-6-5-7""",0.97,0.97,0.97,0.97,0.96,0.95,0.94,,,0.0,48.79,見送り,7
佐世保競輪,5R,22:10,最終日,Ａ,"=""2-1""","=""2-1-3""","=""4-5-7-6""","=""2-1-4""","=""3-6-7-5""",0.97,0.97,0.97,0.95,0.94,0.93,0.91,,,0.02,49.41,見送り,7
高知競輪,6R,22:20,最終日,Ａ,"=""1-4""","=""1-4-3""","=""2-5-6-7""","=""3-1-4""","=""2-7-5-6""",0.97,0.97,0.97,0.96,0.95,0.95,0.91,,,0.01,49.06,見送り,7
佐世保競輪,6R,22:30,最終日,Ａ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""2-1-3""","=""4-7-5-6""",0.97,0.97,0.97,0.97,0.96,0.95,0.93,,,0.0,48.83,見送り,7
高知競輪,7R,22:40,最終日,Ａ,"=""1-2""","=""1-2-4""","=""5-3-6-7""","=""1-5-2""","=""3-4-6-7""",0.97,0.97,0.97,0.96,0.96,0.95,0.94,,,0.0,48.85,見送り,7
佐世保競輪,7R,22:50,最終日,Ａ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""2-1-3""","=""4-5-6-7""",0.97,0.97,0.97,0.97,0.95,0.95,0.93,,,0.0,48.83,見送り,7
高知競輪,8R,23:00,最終日,ガ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""3-2-1""","=""4-5-6-7""",0.97,0.97,0.97,0.97,0.96,0.95,0.94,,,0.0,48.73,見送り,7
佐世保競輪,8R,23:10,最終日,ガ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""3-2-1""","=""4-5-6-7""",0.97,0.97,0.97,0.97,0.97,0.96,0.94,,,0.0,48.73,見送り,7
高知競輪,9R,23:20,最終日,Ａ,"=""1-3""","=""1-3-2""","=""5-4-6-7""","=""3-1-2""","=""4-5-7-6""",0.97,0.97,0.97,0.96,0.96,0.95,0.93,,,0.01,48.91,見送り,7
佐世保競輪,9R,23:30,最終日,Ａ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""1-2-6""","=""3-4-5-7""",0.97,0.97,0.97,0.97,0.95,0.93,0.89,,,0.0,49.15,見送り,7
